header_text,part_start,part_length,faction,faction_characters,share_including_other,share_excluding_other,percentage_of_part_length,volume,header_text_short
CHAP. VI. Civil government of England during this period.-Ecclesiastical govern-ment.-Manners.-Finances.-Navy.-Commerce.-Ma-nufactures.-Colonies.-Learning and arts.,344923,75981,whig,336,0.10123531184091594,1.0,0.004422158171121728,5,CHAP. VI. Civil government of England during this  […]
CHAP. VI. Civil government of England during this period.-Ecclesiastical govern-ment.-Manners.-Finances.-Navy.-Commerce.-Ma-nufactures.-Colonies.-Learning and arts.,344923,75981,tory,0,0.0,0.0,0.0,5,CHAP. VI. Civil government of England during this  […]
"THE HISTORY OF GREAT BRITAIN.

# CHARLES I. CHAP. I. A parliament at Westminster.-At Oxford.-Naval expedition against Spain.-Second parliament.-Impeachment of Buckingham.-Violent measures of the court.-War with France.-Expedition to the isle of ...",420904,67637,whig,1600,0.8290155440414507,1.0,0.023655691411505538,5,CHARLES I. CHAP. I. A parliament at Westminster.-A […]
"THE HISTORY OF GREAT BRITAIN.

# CHARLES I. CHAP. I. A parliament at Westminster.-At Oxford.-Naval expedition against Spain.-Second parliament.-Impeachment of Buckingham.-Violent measures of the court.-War with France.-Expedition to the isle of ...",420904,67637,tory,0,0.0,0.0,0.0,5,CHARLES I. CHAP. I. A parliament at Westminster.-A […]
CHAP. II. Third parliament.-Petition of right.-Prorogation.-Death of Buckingham.-New session of parliament.-Tonnage and poundage.-Arminianism.-Dissolution.,488541,86314,whig,5735,0.21119499171423312,0.748108531176624,0.06644345065690387,5,CHAP. II. Third parliament.-Petition of right.-Pro […]
CHAP. II. Third parliament.-Petition of right.-Prorogation.-Death of Buckingham.-New session of parliament.-Tonnage and poundage.-Arminianism.-Dissolution.,488541,86314,tory,1931,0.07111029276376359,0.25189146882337593,0.022371805269133627,5,CHAP. II. Third parliament.-Petition of right.-Pro […]
CHAP. III. Peace with France.-Peace with Spain.-State of the court and mi-nistry.-Character of the Queen.-Strafford.-Laud.-Innova-tions in the church.-Irregular levies of money.-Severities in the star ...,574855,68068,whig,2436,0.43437945791726107,1.0,0.03578774167009461,5,CHAP. III. Peace with France.-Peace with Spain.-St […]
CHAP. III. Peace with France.-Peace with Spain.-State of the court and mi-nistry.-Character of the Queen.-Strafford.-Laud.-Innova-tions in the church.-Irregular levies of money.-Severities in the star ...,574855,68068,tory,0,0.0,0.0,0.0,5,CHAP. III. Peace with France.-Peace with Spain.-St […]
CHAP. IV. Discontents in Scotland.-Introduction of the canons and liturgy.-A tumult at Edinburgh.-The covenant.-A general assembly.-E-piscopacy abolished.-War.-A parcification.-Renewal of the war.-Fou ...,642923,85119,whig,302,0.17033276931754088,0.604,0.0035479740128525946,5,CHAP. IV. Discontents in Scotland.-Introduction of […]
CHAP. IV. Discontents in Scotland.-Introduction of the canons and liturgy.-A tumult at Edinburgh.-The covenant.-A general assembly.-E-piscopacy abolished.-War.-A parcification.-Renewal of the war.-Fou ...,642923,85119,tory,198,0.1116751269035533,0.396,0.0023261551474993833,5,CHAP. IV. Discontents in Scotland.-Introduction of […]
CHAP. V. Meeting of the long parlilament.-Strafford and Laud impeached.-Finch and Windbank fly.-Great authority of the commons.-The bishops attacked.-Tonnage and poundage.-Triennial bill.-Strafford's,728042,114179,whig,1808,0.1812167986368648,0.47666754547851303,0.015834785731176484,5,CHAP. V. Meeting of the long parlilament.-Straffor […]
CHAP. V. Meeting of the long parlilament.-Strafford and Laud impeached.-Finch and Windbank fly.-Great authority of the commons.-The bishops attacked.-Tonnage and poundage.-Triennial bill.-Strafford's,728042,114179,tory,1985,0.19895760248571714,0.5233324545214869,0.017384983228089228,5,CHAP. V. Meeting of the long parlilament.-Straffor […]
CHAP. VI. Settlement of Scotland.-Conspiracy in Ireland.-Insurrection and massacre.-Meeting of the English parliament.-The remonstrance.-Reasons on both sides.-Impeachment of the bishops.-Accusation o ...,842221,133826,whig,843,0.05396581524870367,0.205810546875,0.006299224365967749,5,CHAP. VI. Settlement of Scotland.-Conspiracy in Ir […]
CHAP. VI. Settlement of Scotland.-Conspiracy in Ireland.-Insurrection and massacre.-Meeting of the English parliament.-The remonstrance.-Reasons on both sides.-Impeachment of the bishops.-Accusation o ...,842221,133826,tory,3253,0.20824531079956468,0.794189453125,0.024307683110905205,5,CHAP. VI. Settlement of Scotland.-Conspiracy in Ir […]
CHAP. VII. Commencement of the civil war.-State of parties.-Battle of Edge-bill.-Negotiation at Oxford.-Victories of the royalists in the west.-Battle of Stratton.-Of Lansdown.-Of Roundway-down.-Death ...,976047,98457,whig,1652,0.18349439075863602,0.3528406663818881,0.01677889840234823,5,CHAP. VII. Commencement of the civil war.-State of […]
CHAP. VII. Commencement of the civil war.-State of parties.-Battle of Edge-bill.-Negotiation at Oxford.-Victories of the royalists in the west.-Battle of Stratton.-Of Lansdown.-Of Roundway-down.-Death ...,976047,98457,tory,3030,0.33655448183938685,0.647159333618112,0.030774856028520065,5,CHAP. VII. Commencement of the civil war.-State of […]
CHAP. VIII. Invasion of the Scotch.-Battle of Marston-moor-Battle of Cropredy-bridge.-Essex's forces disarmed.-Second battle of Newberry.-Rise and character of the independents.-Self-denying ordinance ...,1074504,77068,whig,410,0.07893723527146708,0.13680347013680347,0.005319977163024861,5,CHAP. VIII. Invasion of the Scotch.-Battle of Mars […]
CHAP. VIII. Invasion of the Scotch.-Battle of Marston-moor-Battle of Cropredy-bridge.-Essex's forces disarmed.-Second battle of Newberry.-Rise and character of the independents.-Self-denying ordinance ...,1074504,77068,tory,2587,0.4980747015787447,0.8631965298631965,0.03356775834328126,5,CHAP. VIII. Invasion of the Scotch.-Battle of Mars […]
CHAPTER. IX. Montrose's victories.-The new model of the army.-Battle of Naseby.-Surrender of Bristol.-The west conquered by Fairfax.-Defeat of Montrose.-Ecclesiastical affairs.-King goes to the Scotch ...,1151572,76736,whig,103,0.024594078319006684,0.08003108003108003,0.0013422643869891576,5,CHAPTER. IX. Montrose's victories.-The new model o […]
CHAPTER. IX. Montrose's victories.-The new model of the army.-Battle of Naseby.-Surrender of Bristol.-The west conquered by Fairfax.-Defeat of Montrose.-Ecclesiastical affairs.-King goes to the Scotch ...,1151572,76736,tory,1184,0.282712511938873,0.9199689199689199,0.015429524603836531,5,CHAPTER. IX. Montrose's victories.-The new model o […]
CHAP. X. Mutiny of the army.-The King seized by Joyce.-The army march against the parliament.-The army subdue the parliament.-The King flies to the isle of Wight.-Second civil war.-Invasion from Scotl ...,1228308,143528,whig,2469,0.09715499940975092,0.18700295387411953,0.017202218382475893,5,CHAP. X. Mutiny of the army.-The King seized by Jo […]
CHAP. X. Mutiny of the army.-The King seized by Joyce.-The army march against the parliament.-The army subdue the parliament.-The King flies to the isle of Wight.-Second civil war.-Invasion from Scotl ...,1228308,143528,tory,10734,0.4223822453075198,0.8129970461258805,0.07478680118165097,5,CHAP. X. Mutiny of the army.-The King seized by Jo […]
THE HISTORY OF GREAT BRITAIN. THE COMMONWEALTH. CHAP. I. State of England. - Of Scotland. - Of Ireland. - Levellers suppressed. - Siege of Dublin raised. - Tredah stormed. - Covenanters. - Montrose taken ...,7953,129731,whig,5872,0.4001635545863432,0.6381915009238126,0.04526289013420077,6,THE COMMONWEALTH. CHAP. I. State of England. - Of  […]
THE HISTORY OF GREAT BRITAIN. THE COMMONWEALTH. CHAP. I. State of England. - Of Scotland. - Of Ireland. - Levellers suppressed. - Siege of Dublin raised. - Tredah stormed. - Covenanters. - Montrose taken ...,7953,129731,tory,3329,0.2268638408068693,0.3618084990761874,0.02566079040476062,6,THE COMMONWEALTH. CHAP. I. State of England. - Of  […]
CHAP. II. Cormwel's birth and private life. - Barebone's Parliament. - Cromwell made Protector. - Peace with Holland. - A new Parliament. - Insurrection of the Royalists. - State of Europe. - War with ...,137684,140685,whig,5672,0.5091561938958707,0.7224557381225322,0.040317020293563634,6,CHAP. II. Cormwel's birth and private life. - Bare […]
CHAP. II. Cormwel's birth and private life. - Barebone's Parliament. - Cromwell made Protector. - Peace with Holland. - A new Parliament. - Insurrection of the Royalists. - State of Europe. - War with ...,137684,140685,tory,2179,0.19560143626570917,0.27754426187746783,0.01548850268329957,6,CHAP. II. Cormwel's birth and private life. - Bare […]
CHAP. III. Richard acknowleged Protector. - A Parliament. - Cabal of Wallingford House. - Richard deposed. - Long Parliament or Rump restored. - Conspiracy of the Royalists. - Insurrection. - Suppress ...,278369,107008,whig,1673,0.28964681440443213,0.31230166137763676,0.01563434509569378,6,CHAP. III. Richard acknowleged Protector. - A Parl […]
CHAP. III. Richard acknowleged Protector. - A Parliament. - Cabal of Wallingford House. - Richard deposed. - Long Parliament or Rump restored. - Conspiracy of the Royalists. - Insurrection. - Suppress ...,278369,107008,tory,3684,0.6378116343490304,0.6876983386223633,0.03442733253588517,6,CHAP. III. Richard acknowleged Protector. - A Parl […]
THE HISTORY OF GREAT BRITAIN. CHARLES II. CHAP. I. New ministry. - Act of Indemnity. - Settlement of the revenue. - Tiral and execution of the regicides. - Dissolution of the convention Parliament. - ...,385377,88842,whig,2104,0.37484411188312844,0.7277758561051539,0.02368249251480156,6,CHARLES II. CHAP. I. New ministry. - Act of Indemn […]
THE HISTORY OF GREAT BRITAIN. CHARLES II. CHAP. I. New ministry. - Act of Indemnity. - Settlement of the revenue. - Tiral and execution of the regicides. - Dissolution of the convention Parliament. - ...,385377,88842,tory,787,0.14021022626046678,0.27222414389484606,0.008858422818036515,6,CHARLES II. CHAP. I. New ministry. - Act of Indemn […]
CHAP. II. A new session. - Rupture with Holland. - A new session. - Victory of the English. - Rupture with France. - Rupture with Denmark. - New session. - Sea-fight of four days. - Victory of the Eng ...,474219,102767,whig,3247,0.6265920494017754,0.8816182459951126,0.03159574571603725,6,CHAP. II. A new session. - Rupture with Holland. - […]
CHAP. II. A new session. - Rupture with Holland. - A new session. - Victory of the English. - Rupture with France. - Rupture with Denmark. - New session. - Sea-fight of four days. - Victory of the Eng ...,474219,102767,tory,436,0.08413739868776535,0.11838175400488732,0.004242607062578454,6,CHAP. II. A new session. - Rupture with Holland. - […]
CHAP. III. A Parliament. - The Cabal. - Their characters. - Their councils. - Alliance with France. - A Parliament. - Coventry act. - Blood's crimes. - Duke declares himself Catholic. - Exchequer shut ...,576986,125289,whig,2489,0.3557238816635701,0.6368986693961105,0.01986606964697619,6,CHAP. III. A Parliament. - The Cabal. - Their char […]
CHAP. III. A Parliament. - The Cabal. - Their characters. - Their councils. - Alliance with France. - A Parliament. - Coventry act. - Blood's crimes. - Duke declares himself Catholic. - Exchequer shut ...,576986,125289,tory,1419,0.20280120051450623,0.36310133060388944,0.01132581471637574,6,CHAP. III. A Parliament. - The Cabal. - Their char […]
CHAP. IV. Preposterous schemes of the cabal. - Remonstrances of Sir William Temple. - Campaign of 1674. - A Parliament. - Passive obedience. - A Parliament. - Campaign of 1675. - Congress of Nimeguen. ...,702275,115974,whig,2000,0.20360378703043877,0.3009781790820166,0.017245244623794988,6,CHAP. IV. Preposterous schemes of the cabal. - Rem […]
CHAP. IV. Preposterous schemes of the cabal. - Remonstrances of Sir William Temple. - Campaign of 1674. - A Parliament. - Passive obedience. - A Parliament. - Campaign of 1675. - Congress of Nimeguen. ...,702275,115974,tory,4645,0.472869795378194,0.6990218209179835,0.04005208063876386,6,CHAP. IV. Preposterous schemes of the cabal. - Rem […]
CHAP. V. The popish plot. - Oates's Narrative. - And character. - Coleman's letters. - Godfrey's murder. - General consternation. - The Parliament. - Zeal of the Parliament. - Bedloe's narrative. - Ac ...,818249,104218,whig,1794,0.1908713692946058,0.8344186046511628,0.017213916981711413,6,CHAP. V. The popish plot. - Oates's Narrative. - A […]
CHAP. V. The popish plot. - Oates's Narrative. - And character. - Coleman's letters. - Godfrey's murder. - General consternation. - The Parliament. - Zeal of the Parliament. - Bedloe's narrative. - Ac ...,818249,104218,tory,356,0.03787636982657729,0.1655813953488372,0.0034159166362816404,6,CHAP. V. The popish plot. - Oates's Narrative. - A […]
CHAP. VI. State of parties. - State of the ministry. - Meal-tub plot. - Whig and Tory. - A new parliament. - Violence of the Commons. - Exclusion-bill. - Arguments for and against the Exclusion. - Ex  ...,922467,89202,whig,1785,0.14546491728465488,0.3813287759025849,0.020010762090536087,6,CHAP. VI. State of parties. - State of the ministr […]
CHAP. VI. State of parties. - State of the ministry. - Meal-tub plot. - Whig and Tory. - A new parliament. - Violence of the Commons. - Exclusion-bill. - Arguments for and against the Exclusion. - Ex  ...,922467,89202,tory,2896,0.23600358568983784,0.618671224097415,0.03246563978386135,6,CHAP. VI. State of parties. - State of the ministr […]
CHAP. VII. State of affairs in Ireland. - Shaftesbury acquitted. - Argyle's trial. - State of affairs in Scotland. - State of the ministry in England. - New nomination of sheriffs. - Quo warrantos. -  ...,1011669,101388,whig,815,0.23133692875390294,0.5081047381546134,0.008038426638260938,6,CHAP. VII. State of affairs in Ireland. - Shaftesb […]
CHAP. VII. State of affairs in Ireland. - Shaftesbury acquitted. - Argyle's trial. - State of affairs in Scotland. - State of the ministry in England. - New nomination of sheriffs. - Quo warrantos. -  ...,1011669,101388,tory,789,0.22395685495316492,0.4918952618453865,0.00778198603385016,6,CHAP. VII. State of affairs in Ireland. - Shaftesb […]
THE HISTORY OF GREAT BRITAIN. JAMES II. CHAP. I. King's first transactions. - A Parliament. - Arguments for and against a revenue for life. - Oates convicted of perjury. - Monmouth's invasion. - His defeat. ...,1113057,114499,whig,4486,0.38460219478737995,0.7299056296778392,0.039179381479314226,6,JAMES II. CHAP. I. King's first transactions. - A  […]
THE HISTORY OF GREAT BRITAIN. JAMES II. CHAP. I. King's first transactions. - A Parliament. - Arguments for and against a revenue for life. - Oates convicted of perjury. - Monmouth's invasion. - His defeat. ...,1113057,114499,tory,1660,0.14231824417009603,0.27009437032216077,0.014497943213477847,6,JAMES II. CHAP. I. King's first transactions. - A  […]
"CHAP. II. Conduct of the Prince of Orange. - He forms a league against France, - refuses to concur with the King, - resolves to oppose the King, - is applied to by the English. - Coalition of parties. ...",1227556,120628,whig,2926,0.5294969236337315,0.9717701760212554,0.02425639155088371,6,CHAP. II. Conduct of the Prince of Orange. - He fo […]
"CHAP. II. Conduct of the Prince of Orange. - He forms a league against France, - refuses to concur with the King, - resolves to oppose the King, - is applied to by the English. - Coalition of parties. ...",1227556,120628,tory,85,0.015381831342743395,0.028229823978744604,0.000704645687568392,6,CHAP. II. Conduct of the Prince of Orange. - He fo […]
