header_text,part_start,part_length,faction,faction_characters,share_including_other,share_excluding_other,percentage_of_part_length,volume,header_text_short
"Substance of the King's Message to both Houses, April 12. 1643.",180181,363028,whig,22708,0.1832309914387845,0.5444780127559584,0.06255164890862412,12,"Substance of the King's Message to both Houses, Ap[…]"
"Substance of the King's Message to both Houses, April 12. 1643.",180181,363028,tory,18998,0.15329497865747876,0.45552198724404164,0.05233205152219664,12,"Substance of the King's Message to both Houses, Ap[…]"
The PROPOSITIONS of the Parliament and Scotch Commissioners.,543209,20408,whig,843,0.06438063235069498,0.5038852361028093,0.04130733045864367,12,The PROPOSITIONS of the Parliament and Scotch Comm[…]
The PROPOSITIONS of the Parliament and Scotch Commissioners.,543209,20408,tory,830,0.06338781121124179,0.49611476389719067,0.0406703253626029,12,The PROPOSITIONS of the Parliament and Scotch Comm[…]
Directions for my Uxbridge Commissioners.,563617,3763,whig,0,0.0,0.0,0.0,12,Directions for my Uxbridge Commissioners.
Directions for my Uxbridge Commissioners.,563617,3763,tory,0,0.0,0.0,0.0,12,Directions for my Uxbridge Commissioners.
"Memorials for Secretary Nicholas, concerning the Treaty at Uxbridge.

# The Queen to the King.",567380,1679,whig,0,0.0,0.0,0.0,12,"Memorials for Secretary Nicholas, concerning the T[…]"
"Memorials for Secretary Nicholas, concerning the Treaty at Uxbridge.

# The Queen to the King.",567380,1679,tory,0,0.0,0.0,0.0,12,"Memorials for Secretary Nicholas, concerning the T[…]"
His Majesty's Letter to the Queen.,569059,4745,whig,65,0.010551948051948052,0.4961832061068702,0.0136986301369863,12,His Majesty's Letter to the Queen.
His Majesty's Letter to the Queen.,569059,4745,tory,66,0.010714285714285714,0.5038167938931297,0.013909378292939936,12,His Majesty's Letter to the Queen.
The Queen to the King.,573804,111280,whig,7519,0.2350642448494701,0.9055762977237143,0.06756829618979152,12,The Queen to the King.
The Queen to the King.,573804,111280,tory,784,0.024509957170100353,0.09442370227628567,0.00704529115744069,12,The Queen to the King.
"The Substance of the Trcaty between the Earl of Glamorgan, and the Confederate Irish Catholicks.",685084,162768,whig,14220,0.24138926140318118,0.8574529667149059,0.08736360955470363,12,The Substance of the Trcaty between the Earl of Gl[…]
"The Substance of the Trcaty between the Earl of Glamorgan, and the Confederate Irish Catholicks.",685084,162768,tory,2364,0.04012969155816599,0.14254703328509408,0.01452373930993807,12,The Substance of the Trcaty between the Earl of Gl[…]
"ARTICLES proposed by the Army, to be treated on by the Parliament's Commissioners.",847852,365580,whig,30098,0.18423211115871946,0.5503181452497623,0.08232944909458942,12,"ARTICLES proposed by the Army, to be treated on by[…]"
"ARTICLES proposed by the Army, to be treated on by the Parliament's Commissioners.",847852,365580,tory,24594,0.15054171512517597,0.4496818547502377,0.06727392089282784,12,"ARTICLES proposed by the Army, to be treated on by[…]"
