actor_id,combined_length,pages_estimate,name_unified,faction,share
40786212,74,0.0,"Barksdale, Clement, 1609-1687.",other,0.0
304995359,73,0.0,Englishman.,other,0.0
49368390,73,0.0,"Sleidanus, Johannes, 1506-1556.",other,0.0
17257228,73,0.0,"Maimbourg, Louis, 1610-1686.",other,0.0
14847469,72,0.0,"Baxter, Andrew, 1686?-1750.",parliamentarian,0.0
60419839,72,0.0,"Bishop, George, -1668.",other,0.0
59092312,71,0.0,"Mallet, David, 1705?-1765.",other,0.0
11463621,71,0.0,"Burnham, Richard, 1711-1752.",other,0.0
49570810,70,0.0,"Tong, William, 1662-1727.",other,0.0
46796537,70,0.0,"Somers, John Somers, Baron, 1651-1716.",whig,0.0
8194433,69,0.0,Virgil.,other,0.0
100210298,69,0.0,"Sherlock, William, 1641?-1707.",other,0.0
28500517,69,0.0,"Lindsay, John, 1686-1768.",royalist,0.0
65577777,69,0.0,"Ailesbury, Charles Bruce, Earl of, 1682-1747.",other,0.0
NV25266,68,0.0,"Pontis, Louis, sieur de, 1583-1670.",other,0.0
34342501,68,0.0,"Croope, J.",other,0.0
107553,67,0.0,"Fleury, Claude, 1640-1723.",other,0.0
12648309,67,0.0,"Hooke, N. (Nathaniel), 1690?-1763.",other,0.0
305230143,66,0.0,"Crull, J. (Jodocus), -1713?.",royalist,0.0
4806263,66,0.0,"Smyth, George, of North Nibley, Gloucestershire.",other,0.0
46768940,66,0.0,"Clarke, Samuel, 1675-1729.",other,0.0
59113668,65,0.0,"Vertot, abbé de, 1655-1735.",other,0.0
304992460,65,0.0,Philalethes.,other,0.0
61551003,64,0.0,"Pope, Alexander, 1688-1744.",tory,0.0
39718636,64,0.0,"Harris, William, 1720-1770.",other,0.0
76555683,64,0.0,"Dunton, John, 1659-1733.",whig,0.0
100288562,64,0.0,"Lennox, Charlotte, approximately 1729-1804.",other,0.0
22484951,60,0.0,"Cook, Aurelian.",other,0.0
312805778,59,0.0,"Collier, Thomas, active 1691.",other,0.0
55523745,59,0.0,"Cawdrey, Daniel, 1588-1664.",other,0.0
66816439,58,0.0,"Degge, Simon, Sir, 1612-1704.",other,0.0
27368081,58,0.0,"Favyn, André.",other,0.0
35397537,56,0.0,"Willet, Andrew, 1562-1621.",other,0.0
59438242,56,0.0,"Wynne, William, 1692-1765.",other,0.0
18336847,55,0.0,"Bull, George, 1634-1710.",other,0.0
39386958,54,0.0,"Davenant, Charles, 1656-1714.",tory,0.0
12719,53,0.0,"Jurieu, Pierre, 1637-1713.",other,0.0
34801107,52,0.0,"Philipps, Fabian, 1601-1690.",other,0.0
32345519,49,0.0,"Stoughton, Thomas.",other,0.0
69144805,48,0.0,"Stepney, George, 1663-1707.",royalist,0.0
50282569,47,0.0,"MacBride, John, 1651?-1718.",other,0.0
NV35684,47,0.0,"G., W.",other,0.0
76370928,46,0.0,"Newbery, J.",other,0.0
9712180,42,0.0,"Innes, Duncan, -1749 or 1750.",other,0.0
22495432,40,0.0,"Towgood, Micaiah, 1700-1792.",other,0.0
34826028,40,0.0,"Salmon, N. (Nathaniel), 1675-1742.",royalist,0.0
59073834,39,0.0,"Sherlock, Thomas, 1678-1761.",other,0.0
71455359,39,0.0,"Sidney, Algernon, 1623-1683.",parliamentarian,0.0
59083895,39,0.0,"Hobbes, Thomas, 1588-1679.",royalist,0.0
42182921,38,0.0,"Oldys, William, 1696-1761.",other,0.0
62412318,38,0.0,"Sparrow, Anthony, 1612-1685.",royalist,0.0
40855220,38,0.0,"Downes, Samuel, -1723.",other,0.0
73728737,36,0.0,"Podmore, Thomas, -1785.",other,0.0
37790832,33,0.0,"Ware, James, Sir, 1594-1666.",other,0.0
28155168,32,0.0,"Brown, John, 1610?-1679.",other,0.0
43263760,31,0.0,"Goddard, Thomas.",other,0.0
304987751,31,0.0,Impartial hand.,whig,0.0
NV18652,30,0.0,"Leighton, William, Sir, active 1603-1614.",other,0.0
60511927,30,0.0,"Cock, Mr. (Christopher), active 1720-1749.",other,0.0
100160573,30,0.0,"Colbatch, John, 1664-1748.",other,0.0
100184985,30,0.0,"Davies, John, 1565?-1618.",other,0.0
309561590,30,0.0,"Clapham, Henoch.",other,0.0
34800610,30,0.0,"Cressener, Robert.",other,0.0
49570540,30,0.0,"Philips, George, 1599?-1696.",other,0.0
24949005,30,0.0,"Pricket, Robert.",other,0.0
304993830,30,0.0,Country gentleman.,other,0.0
2817633,29,0.0,"Vilant, William.",other,0.0
47110990,29,0.0,"Nye, Philip, 1596?-1672.",other,0.0
39724994,27,0.0,"Higgons, Bevill, 1670-1735.",jacobite,0.0
71740779,27,0.0,"Downes, Theophilus, -1726.",other,0.0
20019400,27,0.0,"Cosin, Richard, 1549?-1597.",other,0.0
17570189,26,0.0,"Kellison, Matthew.",other,0.0
67878808,25,0.0,"Campbell, Robert, Esq.",other,0.0
22395113,25,0.0,"Knolles, Richard, 1550?-1610.",other,0.0
79543346,25,0.0,"Downame, George, -1634.",other,0.0
